VARIABLES="Period (s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Diffraction force - beta =   0.000 deg",I=   100,F=POINT
   -3.22  -92.67  -87.42  -58.04    0.34  -81.52
    0.35  -85.64 -267.20   72.20    0.96  -76.32
 0.4200  0.227577E+06  0.199856E-01  0.285324E+07  0.196912E+01  0.245744E+07  0.142317E-07 *******    0.77 *******  323.34 *******    0.00
   -3.31   77.29  -86.95  -79.79    0.28 -246.37
    0.33 -250.64 -266.74 -269.17    0.95   86.69
 0.4400  0.248939E+06  0.196171E+00  0.279794E+07  0.583873E+00  0.266802E+07  0.170387E-07 *******    2.90 *******  251.06 *******    0.00
   -3.37  -90.68  -86.43   75.77    0.19 -127.57
    0.30  -84.11 -266.26  -91.19    0.91   26.41
 0.4600  0.272148E+06  0.236674E+00  0.274141E+07  0.421445E+01  0.288363E+07  0.160860E-07 *******    3.63 *******  176.88 *******    0.00
   -3.42  -82.41  -85.84  -90.02    0.11   82.51
    0.28   84.11 -265.67  -96.28    0.89 -125.78
 0.4800  0.296216E+06  0.336074E+00  0.268404E+07  0.305618E+01  0.310207E+07  0.272522E-08 *******    2.49 *******   86.28 *******    0.00
   -3.49  -89.01  -85.21  -94.58    0.03  -70.02
    0.24  -89.25 -265.04 -256.13    0.86   66.21
 0.5000  0.320710E+06  0.173171E-01  0.262608E+07  0.268992E+01  0.332159E+07  0.178230E-07 *******    0.18 *******  220.74 *******    0.00
   -3.58 -141.27  -84.53   88.58   -0.06   87.94
    0.20  -21.83 -264.37   85.68    0.82  -81.92
 0.5200  0.345109E+06  0.298645E+00  0.256771E+07  0.892022E+00  0.354607E+07  0.340492E-07 *******    4.67 *******  190.68 *******    0.00
   -3.68  -92.69  -83.79 -266.55   -0.18  -79.96
    0.15 -267.10 -263.60  -85.85    0.76  -50.96
